reaction,unique_aer_id_number,original_receive_date,number_of_animals_affected,primary_reporter,number_of_animals_treated,drug,onset_date,report_id,type_of_information,receiver.organization,receiver.street_address,receiver.city,receiver.state,receiver.postal_code,receiver.country,health_assessment_prior_to_exposure.assessed_by,animal.species,animal.gender,animal.age.min,animal.age.max,animal.age.unit,animal.age.qualifier,animal.weight.min,animal.weight.max,animal.weight.unit,animal.weight.qualifier,animal.breed.is_crossbred,animal.breed.breed_component,animal.reproductive_status,animal.female_animal_physiological_status,outcome
"[{'veddra_version': '11', 'veddra_term_code': '1043', 'veddra_term_name': 'Weight loss'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '2', 'veddra_term_code': '99206', 'veddra_term_name': 'BROMSULPHALEIN RETENTION HIGH'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}]",USA-USFDACVM-2015-US-068269,19870424,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870424,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,5.00,,Year,Measured,24.490,,Kilogram,Measured,false,Doberman Pinscher,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '560', 'veddra_term_name': 'Hypocalcaemic condition'}, {'veddra_version': '11', 'veddra_term_code': '2047', 'veddra_term_name': 'Elevated BUN'}, {'veddra_version': '11', 'veddra_term_code': '2232', 'veddra_term_name': 'Elevated amylase'}, {'veddra_version': '11', 'veddra_term_code': '1944', 'veddra_term_name': 'Hyperkalemic condition'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '1883', 'veddra_term_name': 'Hypoalbuminaemia'}]",USA-USFDACVM-2015-US-068283,19870521,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870521,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,4.00,,Year,Measured,34.020,,Kilogram,Measured,false,Retriever - Labrador,,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '642', 'veddra_term_name': 'Convulsion'}, {'veddra_version': '11', 'veddra_term_code': '2266', 'veddra_term_name': 'Elevated cholesterol (total)'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '1883', 'veddra_term_name': 'Hypoalbuminaemia'}]",USA-USFDACVM-2015-US-068297,19870604,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870604,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,12.00,,Month,Measured,11.340,,Kilogram,Measured,false,Sheepdog - Beauce (Beauceron),,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '687', 'veddra_term_name': 'Trembling'}, {'veddra_version': '11', 'veddra_term_code': '690', 'veddra_term_name': 'Mydriasis'}]",USA-USFDACVM-2015-US-069540,19870619,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138412'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870612,N138412,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,7.00,,Year,Measured,5.900,,Kilogram,Measured,false,Poodle (unspecified),,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '642', 'veddra_term_name': 'Convulsion'}, {'veddra_version': '11', 'veddra_term_code': '668', 'veddra_term_name': 'Collapse'}, {'veddra_version': '11', 'veddra_term_code': '1215', 'veddra_term_name': 'Pallor'}]",USA-USFDACVM-2015-US-051544,19870419,1,Other,1,"[{'route': 'Intravenous', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N101479'}, 'atc_vet_code': 'QM01AG90', 'active_ingredients': [{'name': 'Flunixin Meglumine', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870416,N101479,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Female,8.00,,Year,Measured,544.310,,Kilogram,Measured,false,Thoroughbred,,,
"[{'veddra_version': '11', 'veddra_term_code': '293', 'veddra_term_name': 'Hypersalivation'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-032663,19870418,1,Other,20,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N042837'}, 'atc_vet_code': 'QP52AE01', 'active_ingredients': [{'name': 'Levamisole Hydrochloride', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870410,N042837,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Sheep,Female,.00,,C17998,Measured,49.900,,Kilogram,Measured,false,Sheep (unknown),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '304', 'veddra_term_name': 'Loose stool'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '1019', 'veddra_term_name': 'Stupor'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}]",USA-USFDACVM-2015-US-039763,19870626,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N055099'}, 'atc_vet_code': 'QJ01CR02', 'active_ingredients': [{'name': 'Amoxicillin, Clavulanate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870626,N055099,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Mixed,10.00,,Year,Measured,28.580,,Kilogram,Measured,false,Crossbred Canine/dog,,,
"[{'veddra_version': '2', 'veddra_term_code': '99082', 'veddra_term_name': 'INEFFECTIVE, ANESTHESIA'}, {'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}]",USA-USFDACVM-2015-US-031862,19870515,5,Other,5,"[{'route': 'Intravenous', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N039483'}, 'atc_vet_code': 'QN01AF90', 'active_ingredients': [{'name': 'Thiamylal', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870515,N039483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Mixed,.00,.00,C17998,Measured,,,,Unknown,false,Mixed (Dog),,,
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-052701,19870629,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N104493'}, 'atc_vet_code': 'QP52AH02', 'active_ingredients': [{'name': 'Diethylcarbamazine Citrate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870629,N104493,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,9.00,,Year,Measured,29.480,,Kilogram,Measured,false,Retriever - Labrador,,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '690', 'veddra_term_name': 'Mydriasis'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-069539,19870529,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138412'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870529,N138412,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Unknown,9.00,,Month,Measured,3.180,,Kilogram,Measured,false,Dachshund (unspecified),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '687', 'veddra_term_name': 'Trembling'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '658', 'veddra_term_name': 'Recumbency'}]",USA-USFDACVM-2015-US-063484,19870618,2,Other,16,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,3.00,3.00,Month,Measured,113.400,113.400,Kilogram,Measured,false,Holstein-Friesian also known as Holstein,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '775', 'veddra_term_name': 'Abortion'}]",USA-USFDACVM-2015-US-051911,19870513,4,Other,26,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N102437'}, 'atc_vet_code': 'QP52AE01', 'active_ingredients': [{'name': 'Levamisole Phosphate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870513,N102437,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,.00,.00,C17998,Measured,498.950,498.950,Kilogram,Measured,false,Crossbred Bovine/Cattle,,,
"[{'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '11', 'veddra_term_code': '687', 'veddra_term_name': 'Trembling'}]",USA-USFDACVM-2015-US-068267,19870424,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870424,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,4.00,,Month,Measured,1.360,,Kilogram,Measured,false,Terrier - Yorkshire,,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}]",USA-USFDACVM-2015-US-068281,19870521,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870521,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,5.00,,Month,Measured,2.270,,Kilogram,Measured,false,Terrier - West Highland White,,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '775', 'veddra_term_name': 'Abortion'}]",USA-USFDACVM-2015-US-070332,19870421,1,Other,3,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138954'}, 'atc_vet_code': 'QP52AC59', 'active_ingredients': [{'name': 'Mebendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870421,N138954,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Female,11.00,,Year,Measured,544.310,,Kilogram,Measured,false,Thoroughbred,,,
"[{'veddra_version': '11', 'veddra_term_code': '1030', 'veddra_term_name': 'Ascites'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}]",USA-USFDACVM-2015-US-068271,19870430,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870430,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,8.00,,Year,Measured,36.740,,Kilogram,Measured,false,Doberman Pinscher,,,
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '1883', 'veddra_term_name': 'Hypoalbuminaemia'}]",USA-USFDACVM-2015-US-068272,19870430,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870430,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,5.00,,Year,Measured,6.800,,Kilogram,Measured,false,Poodle (unspecified),,,
"[{'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '1039', 'veddra_term_name': 'Lack of efficacy'}]",USA-USFDACVM-2015-US-036464,19870605,500,Other,500,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QJ01XX10', 'active_ingredients': [{'name': 'Bacitracin Methylene Disalicylate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870605,N046592,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,.00,.00,C17998,Measured,,,,Unknown,false,Pig (unknown),,,
"[{'veddra_version': '11', 'veddra_term_code': '177', 'veddra_term_name': 'Haemorrhage NOS'}, {'veddra_version': '11', 'veddra_term_code': '1214', 'veddra_term_name': 'Swelling NOS'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '1029', 'veddra_term_name': 'Oedema NOS (see other SOCs for specific oedemas)'}]",USA-USFDACVM-2015-US-063482,19870609,1,Other,1,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870609,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,9.00,,Month,Measured,226.800,,Kilogram,Measured,false,Hereford cattle,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}]",USA-USFDACVM-2015-US-036760,19870403,2,Other,2,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Capsule', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N048010'}, 'atc_vet_code': 'QP52A', 'active_ingredients': [{'name': 'Dichlorophene, Toluene', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870403,N048010,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Unknown,.00,.00,C17998,Measured,,,,Unknown,false,Schnauzer (unspecified),,,
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '403', 'veddra_term_name': 'Hyperthyroidism'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '1180', 'veddra_term_name': 'Respiratory tract disorder NOS'}, {'veddra_version': '11', 'veddra_term_code': '560', 'veddra_term_name': 'Hypocalcaemic condition'}, {'veddra_version': '11', 'veddra_term_code': '1946', 'veddra_term_name': 'Hyperglycaemia'}, {'veddra_version': '11', 'veddra_term_code': '2232', 'veddra_term_name': 'Elevated amylase'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}, {'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '543', 'veddra_term_name': 'Polydipsia'}, {'veddra_version': '11', 'veddra_term_code': '718', 'veddra_term_name': 'Polyuria'}, {'veddra_version': '11', 'veddra_term_code': '1963', 'veddra_term_name': 'Decreased urine concentration'}, {'veddra_version': '11', 'veddra_term_code': '1976', 'veddra_term_name': 'Hypoproteinaemia'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '1883', 'veddra_term_name': 'Hypoalbuminaemia'}]",USA-USFDACVM-2015-US-068261,19870410,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870410,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,10.00,,Year,Measured,,,,Unknown,false,Corgi (unspecified),Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}]",USA-USFDACVM-2015-US-070330,19870407,2,Other,2,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138954'}, 'atc_vet_code': 'QP52AC59', 'active_ingredients': [{'name': 'Mebendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870407,N138954,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Unknown,.00,.00,C17998,Measured,,,,Unknown,false,Mixed (Horse),,,
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2238', 'veddra_term_name': 'Elevated gamma-glutamyl transferase (GGT)'}]",USA-USFDACVM-2015-US-068256,19870406,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870406,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,12.00,,Month,Measured,19.960,,Kilogram,Measured,false,Crossbred Canine/dog,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '791', 'veddra_term_name': 'Stillbirth'}, {'veddra_version': '2', 'veddra_term_code': '99673', 'veddra_term_name': 'PR-SKIN, LESION(S)'}, {'veddra_version': '11', 'veddra_term_code': '932', 'veddra_term_name': 'Dermatitis'}, {'veddra_version': '11', 'veddra_term_code': '1310', 'veddra_term_name': 'Alopecia NOS'}]",USA-USFDACVM-2015-US-070942,19870618,10,Other,68,"[{'route': 'Topical', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N139877'}, 'atc_vet_code': 'QP52AE01', 'active_ingredients': [{'name': 'Levamisole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N139877,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Unknown,.00,.00,C17998,Measured,,,,Unknown,false,Crossbred Bovine/Cattle,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
